NO,TextOnThisLaw,TextMustHave_chooseone
282,ผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง แม้ผู้นั้นจะยินยอมก็ตาม ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคล อายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปีผู้กระทำต้องระวางโทษจำคุก ตั้งแต่สามปีถึงสิบห้าปี และปรับตั้งแต่หกพันบาทถึงสามหมื่นบาท ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคล อายุไม่เกินสิบห้าปีผู้กระทำ ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไป,-
283,ผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจด้วยประการอื่นใด ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปีผู้กระทำ ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่เด็กอายุไม่เกินสิบห้าปี ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไป,-
283ทวิ,ผู้ใดพาบุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปี ไปเพื่อการอนาจาร แม้ผู้นั้นจะยินยอมก็ตาม ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่เด็กอายุยังไม่ เกินสิบห้าปี ผู้ใดซ่อนเร้นบุคคลซึ่งถูกพา ,-
284,ผู้ใดพาผู้อื่นไปเพื่อการอนาจาร โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้ายใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธี ข่มขืนใจด้วยประการอื่นใด ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปี และปรับตั้งแต่สองพันบาทถึงสองหมื่นบาท ผู้ใดซ่อนเร้นบุคคลซึ่ง ถูกพาไปตามวรรคแรก ต้องระวางโทษเช่น เดียวกับผู้พาไปนั้น,-
285,เป็นการกระทำแก่ผู้สืบสันดาน ศิษย์ซึ่งอยู่ ในความดูแลผู้อยู่ในความควบคุม ตามหน้าที่ราชการหรือผู้อยู่ในความปกครอง ในความพิทักษ์หรือในความอนุบาล,"276, 277, 277ทวิ(1), 277ทวิ(2), 277ตรี(1), 277ตรี(2), 278, 279, 280(1), 280(2), 282, 283"
286(1),อยู่ร่วมกับผู้ซึ่งค้าประเวณี หรือสมาคมกับผู้ซึ่งค้าประเวณีคนเดียวหรือหลายคนเป็นอาจิณ,ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้น
286(2),กินอยู่หลับนอน หรือรับเงิน หรือประโยชน์อย่างอื่น โดยผู้ซึ่งค้าประเวณีเป็นผู้จัดให้,ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้น
286(3),เข้าแทรกแซงเพื่อช่วยผู้ซึ่งค้าประเวณีในการทะเลาะวิวาทกับผู้ที่คบค้ากับผู้ซึ่งค้าประเวณีนั้น,ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้น
287(1),เพื่อความประสงค์แห่งการค้า หรือโดยการค้า เพื่อการแจกจ่าย หรือเพื่อการแสดงอวดแก่ประชาชน ทำ ผลิต มีไว้ นำเข้าหรือยังให้นำเข้า ในราชอาณาจักร ส่งออกหรือยังให้ส่งออกไปนอกราชอาณาจักร พาไปหรือ ยังให้พาไปหรือทำให้แพร่หลายโดยประการใด ๆ ซึ่งเอกสาร ภาพเขียน ภาพพิมพ์ ภาพระบายสี สิ่งพิมพ์ รูปภาพ ภาพโฆษณา เครื่องหมาย รูปถ่าย ภาพยนตร์ แถบบันทึกเสียง แถบบันทึกภาพหรือสิ่งอื่นใดอันลามก,-
287(2),ประกอบการค้า หรือมีส่วนหรือเข้าเกี่ยวข้องกับการค้าเกี่ยวกับ วัตถุหรือสิ่งของลามกดังกล่าวแล้ว จ่ายแจกหรือแสดงอวดแก่ประชาชน หรือให้เช่นวัตถุหรือสิ่งของเช่นว่านั้น,-
287(3),เพื่อจะช่วยการทำให้แพร่หลาย หรือการค้าวัตถุหรือสิ่งของลามก ดังกล่าวแล้ว โฆษณาหรือไขข่าวโดยประการใด ๆ ว่ามีบุคคลกระทำการ อันเป็นความผิดตาม มาตรานี้ หรือโฆษณาหรือไขข่าวว่าวัตถุ หรือสิ่งของ ลามกดังกล่าวแล้วจะหาได้จากบุคคลใด หรือโดยวิธีใด,-
288,ผู้ใดฆ่าผู้อื่น ,-
289(1),ฆ่าบุพการี,-
289(2),ฆ่าเจ้าพนักงาน ซึ่งกระทำการตามหน้าที่ หรือเพราะเหตุ ที่จะกระทำ หรือได้กระทำการตามหน้าที่,-
289(3),ฆ่าผู้ช่วยเหลือเจ้าพนักงานในการที่เจ้าพนักงานนั้นกระทำ ตามหน้าที่ หรือเพราะเหตุที่บุคคลนั้นจะช่วยหรือได้ช่วยเจ้าพนักงาน ดังกล่าวแล้ว,-
289(4),ฆ่าผู้อื่นโดยไตร่ตรองไว้ก่อน,-
289(5),ฆ่าผู้อื่นโดยทรมานหรือโดยกระทำทารุณโหดร้าย,-
289(6),ฆ่าผู้อื่นเพื่อตระเตรียมการ หรือเพื่อความสะดวกในการ ที่จะกระทำความผิดอย่างอื่น,-
289(7),ฆ่าผู้อื่นเพื่อจะเอาหรือเอาไว้ซึ่งผลประโยชน์อันเกิดแต่การที่ ตนได้กระทำความผิดอื่น เพื่อปกปิดความผิดอื่นของตนหรือเพื่อ หลีกเลี่ยงให้พ้นอาญาในความผิดที่ตนได้กระทำไว้,-
290,ผู้ใดมิได้มีเจตนาฆ่า แต่ทำร้ายผู้อื่นจนเป็นเหตุให้ผู้นั้น ถึงแก่ความตาย,"289(1), 289(2), 289(3), 289(4), 289(5), 289(6), 289(7)"
291,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุ ให้ผู้อื่นถึงแก่ความตาย,-
292,ผู้ใดกระทำด้วยการปฏิบัติอันทารุณ หรือด้วยปัจจัย คล้ายคลึงกันแก่บุคคลซึ่งต้องพึ่งตน ในการดำรงชีพหรือในการอื่นใด เพื่อให้บุคคลฆ่าตนเอง ถ้าการฆ่าตนเองนั้นได้เกิดขึ้นหรือได้มีการ พยายามฆ่าตนเอง,-
293,ผู้ใดช่วยหรือยุยงเด็กอายุยังไม่เกินสิบหกปี หรือผู้ซึ่งไม่ สามารถเข้าใจว่าการกระทำของตนมีสภาพหรือสารสำคัญอย่างไร หรือไม่ สามารถบังคับการกระทำของตนได้ ให้ฆ่าตนเอง ถ้าการฆ่าตนเองนั้นได้ เกิดขึ้นหรือได้มีการพยายามฆ่าตนเอง ,-
294,ผู้ใดเข้าร่วมในการชุลมุนต่อสู้ระหว่างบุคคลตั้งแต่สามคน ขึ้นไป และบุคคลหนึ่งบุคคลใดไม่ว่าจะเป็นผู้เข้าร่วมในการนั้นหรือไม่ ถึงแก่ความตายโดยการกระทำในการชุลมุนต่อสู้นั้น ต้องระวางโทษจำคุก ไม่เกินสองปี หรือปรับไม่เกินสี่พันบาท หรือทั้งจำทั้งปรับ ถ้าผู้ที่เข้าร่วมในการชุลมุนต่อสู้นั้นแสดงได้ว่า ได้กระทำไปเพื่อห้ามการ ชุลมุนต่อสู้นั้น หรือเพื่อป้องกันโดยชอบด้วยกฎหมายผู้นั้นไม่ต้องรับโทษ,-
295,ผู้ใดทำร้ายผู้อื่นจนเป็นเหตุให้เกิดอันตรายแก่กาย หรือจิตใจของผู้อื่นนั้น ผู้นั้นกระทำความผิดฐานทำร้ายร่างกาย,-
296,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย ถ้าความผิด นั้น มีลักษณะประการหนึ่งประการใดดังที่บัญญัติไว้,"289(1), 289(2), 289(3), 289(4), 289(5), 289(6), 289(7)"
297(1),ตาบอด หูหนวก ลิ้นขาด หรือเสียฆานประสาท,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส
297(2),เสียอวัยวะสืบพันธุ์ หรือความสามารถสืบพันธุ์,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส
297(3),เสียแขน ขา มือ เท้า นิ้วหรืออวัยวะอื่นใด,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส
297(4),หน้าเสียโฉมอย่างติดตัว,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส
297(5),แท้งลูก,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส
297(6),จิตพิการอย่างติดตัว,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส
297(7),ทุพพลภาพ หรือป่วยเจ็บเรื้อรังซึ่งอาจถึงตลอดชีวิต,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส
297(8),ทุพพลภาพหรือป่วยเจ็บด้วยอาการทุกขเวทนาเกินกว่า ยี่สิบวัน หรือจนประกอบกรณียกิจตามปกติไม่ได้เกินกว่ายี่สิบวัน,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส
298,"297(1), 297(2), 297(3), 297(4), 297(5), 297(6), 297(7), 297(8)","289(1), 289(2), 289(3), 289(4), 289(5), 289(6), 289(7)"
299,ผู้ใดเข้าร่วมในการชุลมุนต่อสู้ระหว่างบุคคลแต่สามคนขึ้นไป และบุคคลหนึ่งบุคคลใดไม่ว่าจะเป็นผู้ที่เข้าร่วมในการนั้นหรือไม่ รับ อันตรายสาหัส โดยการกระทำในการชุลมุนต่อสู้นั้น ถ้าผู้ที่เข้าร่วมในการชุลมุนต่อสู้นั้นแสดงได้ว่า ได้กระทำไปเพื่อห้ามการ ชุลมุนต่อสู้นั้น หรือเพื่อป้องกันโดยชอบด้วยกฎหมาย,-
300,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุให้ ผู้อื่นรับอันตรายสาหัส,-
301,หญิงใดทำให้ตนเองแท้งลูก หรือยอมให้ผู้อื่นทำให้ตนแท้งลูก ,-
302,ผู้ใดทำให้หญิงแท้งลูกโดยหญิงนั้นยินยอม ถ้าการกระทำนั้นเป็นเหตุให้หญิงรับอันตรายสาหัสอย่างอื่นด้วย ถ้าการกระทำนั้นเป็นเหตุให้หญิงถึงแก่ความตาย,-
303,ผู้ใดทำให้หญิงแท้งลูกโดยหญิงนั้นไม่ยินยอม ต้อง ระวางโทษจำคุกไม่เกินเจ็ดปี หรือปรับไม่เกินหนึ่งหมื่นสี่พันบาท หรือทั้งจำทั้งปรับ ถ้าการกระทำนั้นเป็นเหตุให้หญิงรับอันตรายสาหัสอย่างอื่นด้วย ผู้กระทำต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปี และปรับตั้งแต่ สองพันบาทถึงสองหมื่นบาท ถ้าการกระทำนั้นเป็นเหตุให้หญิงถึงแก่ความตาย ผู้กระทำต้อง ระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นบาท ถึงสี่หมื่นบาท ,-
306,ผู้ใดทอดทิ้งเด็กอายุยังไม่เกินเก้าปีไว้ ณ ที่ใดเพื่อให้เด็ก นั้นพ้นไปเสียจากตน โดยประการที่ทำให้เด็กนั้นปราศจากผู้ดูแล,-
307,ผู้ใดมีหน้าที่ตามกฎหมายหรือตามสัญญาต้องดูแลผู้ซึ่ง พึ่งตนตนเองมิได้ เพราะอายุ ความป่วยเจ็บ กายพิการ หรือจิตพิการ ทอดทิ้งผู้ซึ่งพึ่งตนเองมิได้นั้นเสียโดยประการที่น่าจะเป็นเหตุให้เกิด อันตรายแก่ชีวิต,-
308,เป็นเหตุให้ผู้ถูกทอดทิ้งถึงแก่ความตาย หรือรับอันตรายสาหัส,"306, 307"
309,ผู้ใดข่มขืนใจผู้อื่นให้กระทำการใด ไม่กระทำการใดหรือ จำยอมต่อสิ่งใด โดยทำให้กลัวว่าจะเกิดอันตรายต่อชีวิตร่างกาย เสรีภาพ ชื่อเสียงหรือทรัพย์สินของผู้ถูกข่มขืนใจนั้นเอง หรือของผู้อื่น หรือโดยใช้ กำลังประทุษร้ายจนผู้ถูกข่มขืนใจต้องกระทำการนั้น ไม่กระทำการนั้น หรือจำยอมต่อสิ่งนั้น ถ้าความผิดตามวรรคแรกได้กระทำโดยมีอาวุธ หรือโดยร่วมกระทำ ความผิดด้วยกันตั้งแต่ห้าคนขึ้นไป หรือได้กระทำเพื่อให้ผู้ถูกข่มขืนใจทำ ถอน ทำให้เสียหาย หรือทำลายเอกสารสิทธิอย่างใด ถ้ากระทำโดยอ้างอำนาจอั้งยี่หรือซ่องโจร ไม่ว่าอั้งยี่หรือซ่องโจรนั้นจะ มีอยู่หรือไม่,-
310,ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วยประการ ใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย ถ้าการกระทำความผิดตามวรรคแรก เป็นเหตุให้ผู้ถูกหน่วงเหนี่ยวถูกกัก ขัง หรือต้องปราศจากเสรีภาพในร่างกายนั้นถึงแก่ความตายหรือรับอันตราย สาหัส,-
310ทวิ,ผู้ใดหน่วงเหนี่ยวหรือกักขังผู้อื่น หรือกระทำด้วย ประการใดให้ผู้อื่นปราศจากเสรีภาพในร่างกาย และให้ผู้อื่นนั้นกระทำ การใดให้แก่ผู้กระทำหรือบุคคลอื่น,-
311,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุ ให้ผู้อื่นถูกหน่วงเหนี่ยว ถูกกักขังหรือต้องปราศจากเสรีภาพในร่างกาย ถ้าการกระทำความผิดตามวรรคแรก เป็นเหตุให้ผู้ถูกหน่วงเหนี่ยว ถูกกักขังหรือต้องปราศจากเสรีภาพในร่างกายนั้นถึงแก่ความตาย หรือ รับอันตรายสาหัส,-
312,ผู้ใดเพื่อจะเอาคนลงเป็นทาส หรือให้มีฐานะคล้ายทาส นำเข้าในหรือส่งออกไปนอกราชอาณาจักร พามาจากที่ใด ซื้อ ขาย จำหน่าย รับ หรือหน่วงเหนี่ยวซึ่งบุคคลหนึ่ง ,-
312ทวิ(1),เป็นการกระทำต่อเด็กอายุยังไม่เกินสิบห้าปี รับอันตรายแก่กายหรือจิตใจ,"310ทวิ, 312"
312ทวิ(2),เป็นการกระทำต่อเด็กอายุยังไม่เกินสิบห้าปี รับอันตรายสาหัส,"310ทวิ, 312"
312ทวิ(3),เป็นการกระทำต่อเด็กอายุยังไม่เกินสิบห้าปี ถึงแก่ความตาย,"310ทวิ, 312"
312ตรี,ผู้ใดโดยทุจริตรับไว้ จำหน่าย เป็นธุระจัดหา ล่อไป หรือพาไปซึ่งบุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปี แม้ผู้นั้นจะยินยอมก็ตาม ถ้าการกระทำความผิดตามวรรคแรกเป็นการกระทำแก่เด็กอายุยังไม่เกิน สิบห้าปี ผู้กระทำ ,-
313(1),ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวเด็กอายุไม่เกินสิบห้าปีไป ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย,-
313(2),ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ เอาตัวบุคคลอายุกว่าสิบห้าปีไป โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจ ด้วยประการอื่นใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย,-
313(3),ผู้ใดเพื่อให้ได้มาซึ่งค่าไถ่ หน่วงเหนี่ยวหรือกักขังบุคคลใด ถ้าการกระทำความผิดตามวรรคแรกเป็นเหตุให้ผู้ถูกเอาตัวไป ผู้ถูก หน่วงเหนี่ยวหรือผู้ถูกกักขังนั้นรับอันตรายสาหัสหรือเป็นการกระทำโดย ทรมานหรือโดยทารุณโหดร้าย จนเป็นเหตุให้ผู้ถูกกระทำนั้นรับอันตราย แก่กาย หรือจิตใจ ถ้าการกระทำความผิดนั้นเป็นเหตุให้ผู้ถูกเอาตัวไปผู้ถูกหน่วงเหนี่ยว หรือผู้ถูกกักขังนั้นถึงแก่ความตาย,-
