NO,TextOnThisLaw
282,"ผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง แม้ผู้นั้นจะยินยอมก็ตาม ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปี และปรับตั้งแต่ สองพันบาทถึงสองหมื่นบาท
ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคล อายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปีผู้กระทำต้องระวางโทษจำคุก ตั้งแต่สามปีถึงสิบห้าปี และปรับตั้งแต่หกพันบาทถึงสามหมื่นบาท
ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคล อายุไม่เกินสิบห้าปีผู้กระทำต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นบาทถึงสี่หมื่นบาท
ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไปตามวรรคแรก วรรคสองหรือวรรคสาม หรือสนับสนุนใน การกระทำความผิดดังกล่าว ต้องระวางโทษตามที่บัญญัติไว้ใน วรรคแรกวรรคสอง หรือวรรคสาม แล้วแต่กรณี"
283,"ผู้ใดเพื่อสนองความใคร่ของผู้อื่น เป็นธุระจัดหา ล่อไป หรือพาไปเพื่อการอนาจารซึ่งชายหรือหญิง โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้าย ใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธีข่มขืนใจด้วยประการอื่นใด ต้องระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นบาทถึงสี่หมื่นบาท
ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่บุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปีผู้กระทำต้องระวางโทษจำคุก ตั้งแต่เจ็ดปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นสี่พันบาทถึงสี่หมื่นบาท หรือจำคุกตลอดชีวิต
ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่เด็กอายุไม่เกินสิบห้าปี ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สิบปีถึงยี่สิบปี และปรับตั้งแต่สองหมื่นบาทถึงสี่หมื่นบาท หรือจำคุกตลอดชีวิต หรือประหารชีวิต
ผู้ใดเพื่อสนองความใคร่ของผู้อื่น รับตัวบุคคลซึ่งมีผู้จัดหา ล่อไป หรือพาไปตามวรรคแรก วรรคสองหรือวรรคสาม หรือสนับสนุนใน การกระทำความผิดดังกล่าว ต้องระวางโทษตามที่บัญญัติไว้ใน วรรคแรกวรรคสอง หรือวรรคสาม แล้วแต่กรณี"
283ทวิ,"ผู้ใดพาบุคคลอายุเกินสิบห้าปีแต่ยังไม่เกินสิบแปดปี ไปเพื่อการอนาจาร แม้ผู้นั้นจะยินยอมก็ตาม ต้องระวางโทษจำคุกไม่เกิน ห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือ ทั้งจำทั้งปรับ 
ถ้าการกระทำความผิดตาม วรรคแรกเป็นการกระทำแก่เด็กอายุยังไม่ เกินสิบห้าปี ผู้กระทำต้องระวางโทษจำคุกไม่เกินเจ็ดปี หรือปรับไม่เกิน หนึ่งหมื่นสี่พันบาท หรือทั้งจำทั้งปรับ 
ผู้ใดซ่อนเร้นบุคคลซึ่งถูกพา ไปตามวรรคแรกหรือวรรคสอง ต้องระวาง โทษตามที่บัญญัติในวรรคแรกหรือวรรคสอง แล้วแต่กรณี
ความผิดตามวรรคแรกและ วรรคสามเฉพาะกรณีที่กระทำแก่บุคคลอายุ เกินสิบห้าปี เป็นความผิดอันยอมความได้"
284,"ผู้ใดพาผู้อื่นไปเพื่อการอนาจาร โดยใช้อุบายหลอกลวง ขู่เข็ญ ใช้กำลังประทุษร้ายใช้อำนาจครอบงำผิดคลองธรรม หรือใช้วิธี ข่มขืนใจด้วยประการอื่นใด ต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปี และปรับตั้งแต่สองพันบาทถึงสองหมื่นบาท
ผู้ใดซ่อนเร้นบุคคลซึ่ง ถูกพาไปตามวรรคแรก ต้องระวางโทษเช่น เดียวกับผู้พาไปนั้น
""ความผิดตาม มาตรานี้ เป็นความผิดอันยอมความได้"""
285,"ถ้าการกระทำความผิดตาม มาตรา 276 มาตรา 277 มาตรา 277ทวิ มาตรา 277ตรี 
มาตรา 278 มาตรา 279 มาตรา 280 มาตรา 282 หรือ มาตรา 283 เป็นการกระทำแก่ผู้สืบสันดาน ศิษย์ซึ่งอยู่ ในความดูแลผู้อยู่ในความควบคุม ตามหน้าที่ราชการหรือผู้อยู่ในความปกครอง ในความพิทักษ์หรือในความอนุบาล ผู้กระทำต้องระวางโทษหนัก กว่าที่บัญญัติไว้ใน มาตรา นั้น ๆ หนึ่งในสาม"
286(1),"ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ต้องระวางโทษจำคุกตั้งแต่เจ็ดปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นสี่พันบาทถึงสี่หมื่นบาทหรือจำคุกตลอดชีวิต
ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ
และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้น อยู่ร่วมกับผู้ซึ่งค้าประเวณี หรือสมาคมกับผู้ซึ่งค้าประเวณีคนเดียวหรือหลายคนเป็นอาจิณ"
286(2),"ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ต้องระวางโทษจำคุกตั้งแต่เจ็ดปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นสี่พันบาทถึงสี่หมื่นบาทหรือจำคุกตลอดชีวิต
ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ
และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้น กินอยู่หลับนอน หรือรับเงิน หรือประโยชน์อย่างอื่น โดยผู้ซึ่งค้าประเวณีเป็นผู้จัดให้"
286(3),"ผู้ใดอายุกว่าสิบหกปีดำรงชีพอยู่แม้เพียงบางส่วนจากรายได้ของผู้ซึ่งค้าประเวณี ต้องระวางโทษจำคุกตั้งแต่เจ็ดปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นสี่พันบาทถึงสี่หมื่นบาทหรือจำคุกตลอดชีวิต
ผู้ใดไม่มีปัจจัยอย่างอื่นอันปรากฏสำหรับดำรงชีพ หรือไม่มีปัจจัยอันพอเพียงสำหรับดำรงชีพ
และมีพฤติการณ์อย่างหนึ่งอย่างใดต่อไปนี้ ให้ถือว่าผู้นั้นดำรงชีพอยู่จากรายได้ของผู้ซึ่งค้าประเวณี เว้นแต่จะพิสูจน์ให้เป็นที่พอใจได้ว่ามิได้เป็นเช่นนั้น เข้าแทรกแซงเพื่อช่วยผู้ซึ่งค้าประเวณีในการทะเลาะวิวาทกับผู้ที่คบค้ากับผู้ซึ่งค้าประเวณีนั้น
บทบัญญัติแห่งมาตรานี้มิให้ใช้บังคับแก่ผู้รับค่าเลี้ยงดูจากผู้ซึ่งค้าประเวณีซึ่งพึงให้ค่าเลี้ยงดูนั้น ตามกฎหมายหรือตามธรรมจรรยา"
287(1),เพื่อความประสงค์แห่งการค้า หรือโดยการค้า เพื่อการแจกจ่าย หรือเพื่อการแสดงอวดแก่ประชาชน ทำ ผลิต มีไว้ นำเข้าหรือยังให้นำเข้า ในราชอาณาจักร ส่งออกหรือยังให้ส่งออกไปนอกราชอาณาจักร พาไปหรือ ยังให้พาไปหรือทำให้แพร่หลายโดยประการใด ๆ ซึ่งเอกสาร ภาพเขียน ภาพพิมพ์ ภาพระบายสี สิ่งพิมพ์ รูปภาพ ภาพโฆษณา เครื่องหมาย รูปถ่าย ภาพยนตร์ แถบบันทึกเสียง แถบบันทึกภาพหรือสิ่งอื่นใดอันลามก
287(2),ประกอบการค้า หรือมีส่วนหรือเข้าเกี่ยวข้องกับการค้าเกี่ยวกับ วัตถุหรือสิ่งของลามกดังกล่าวแล้ว จ่ายแจกหรือแสดงอวดแก่ประชาชน หรือให้เช่นวัตถุหรือสิ่งของเช่นว่านั้น
287(3),เพื่อจะช่วยการทำให้แพร่หลาย หรือการค้าวัตถุหรือสิ่งของลามก ดังกล่าวแล้ว โฆษณาหรือไขข่าวโดยประการใด ๆ ว่ามีบุคคลกระทำการ อันเป็นความผิดตาม มาตรานี้ หรือโฆษณาหรือไขข่าวว่าวัตถุ หรือสิ่งของ ลามกดังกล่าวแล้วจะหาได้จากบุคคลใด หรือโดยวิธีใด
288,ผู้ใดฆ่าผู้อื่น ต้องระวางโทษประหารชีวิต จำคุก ตลอดชีวิต หรือจำคุกตั้งแต่สิบห้าปีถึงยี่สิบปี
289(1),ฆ่าบุพการี
289(2),ฆ่าเจ้าพนักงาน ซึ่งกระทำการตามหน้าที่ หรือเพราะเหตุ ที่จะกระทำ หรือได้กระทำการตามหน้าที่
289(3),ฆ่าผู้ช่วยเหลือเจ้าพนักงานในการที่เจ้าพนักงานนั้นกระทำ ตามหน้าที่ หรือเพราะเหตุที่บุคคลนั้นจะช่วยหรือได้ช่วยเจ้าพนักงาน ดังกล่าวแล้ว
289(4),ฆ่าผู้อื่นโดยไตร่ตรองไว้ก่อน
289(5),ฆ่าผู้อื่นโดยทรมานหรือโดยกระทำทารุณโหดร้าย
289(6),ฆ่าผู้อื่นเพื่อตระเตรียมการ หรือเพื่อความสะดวกในการ ที่จะกระทำความผิดอย่างอื่น
289(7),ฆ่าผู้อื่นเพื่อจะเอาหรือเอาไว้ซึ่งผลประโยชน์อันเกิดแต่การที่ ตนได้กระทำความผิดอื่น เพื่อปกปิดความผิดอื่นของตนหรือเพื่อ หลีกเลี่ยงให้พ้นอาญาในความผิดที่ตนได้กระทำไว้
290,"ผู้ใดมิได้มีเจตนาฆ่า แต่ทำร้ายผู้อื่นจนเป็นเหตุให้ผู้นั้น ถึงแก่ความตาย ต้องระวางโทษจำคุกตั้งแต่สามปีถึงสิบห้าปี
ถ้าความผิดนั้นมีลักษณะประการหนึ่งประการใดดังที่บัญญัติไว้ใน มาตรา 289 ผู้กระทำต้องระวางโทษจำคุกตั้งแต่สามปีถึงยี่สิบปี"
291,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุ ให้ผู้อื่นถึงแก่ความตาย ต้องระวางโทษจำคุกไม่เกินสิบปี และปรับไม่เกิน สองหมื่นบาท
292,ผู้ใดกระทำด้วยการปฏิบัติอันทารุณ หรือด้วยปัจจัย คล้ายคลึงกันแก่บุคคลซึ่งต้องพึ่งตน ในการดำรงชีพหรือในการอื่นใด เพื่อให้บุคคลฆ่าตนเอง ถ้าการฆ่าตนเองนั้นได้เกิดขึ้นหรือได้มีการ พยายามฆ่าตนเอง ต้องระวางโทษจำคุกไม่เกินเจ็ดปี และปรับไม่เกิน หนึ่งหมื่นสี่พันบาท 
293,ผู้ใดช่วยหรือยุยงเด็กอายุยังไม่เกินสิบหกปี หรือผู้ซึ่งไม่ สามารถเข้าใจว่าการกระทำของตนมีสภาพหรือสารสำคัญอย่างไร หรือไม่ สามารถบังคับการกระทำของตนได้ ให้ฆ่าตนเอง ถ้าการฆ่าตนเองนั้นได้ เกิดขึ้นหรือได้มีการพยายามฆ่าตนเอง ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ 
294,"ผู้ใดเข้าร่วมในการชุลมุนต่อสู้ระหว่างบุคคลตั้งแต่สามคน ขึ้นไป และบุคคลหนึ่งบุคคลใดไม่ว่าจะเป็นผู้เข้าร่วมในการนั้นหรือไม่ ถึงแก่ความตายโดยการกระทำในการชุลมุนต่อสู้นั้น ต้องระวางโทษจำคุก ไม่เกินสองปี หรือปรับไม่เกินสี่พันบาท หรือทั้งจำทั้งปรับ
ถ้าผู้ที่เข้าร่วมในการชุลมุนต่อสู้นั้นแสดงได้ว่า ได้กระทำไปเพื่อห้ามการ ชุลมุนต่อสู้นั้น หรือเพื่อป้องกันโดยชอบด้วยกฎหมายผู้นั้นไม่ต้องรับโทษ"
295,ผู้ใดทำร้ายผู้อื่นจนเป็นเหตุให้เกิดอันตรายแก่กาย หรือจิตใจของผู้อื่นนั้น ผู้นั้นกระทำความผิดฐานทำร้ายร่างกาย ต้องระวางโทษจำคุกไม่เกินสองปี หรือปรับไม่เกินสี่พันบาท หรือ ทั้งจำทั้งปรับ
296,ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย ถ้าความผิด นั้น มีลักษณะประการหนึ่งประการใดดังที่บัญญัติไว้ใน มาตรา 289 ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกินหกพันบาท หรือ ทั้งจำทั้งปรับ
297(1),"ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส ต้องระวางโทษจำคุกตั้งแต่หกเดือน ถึงสิบปี
อันตรายสาหัสนั้น คือ ตาบอด หูหนวก ลิ้นขาด หรือเสียฆานประสาท"
297(2),"ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส ต้องระวางโทษจำคุกตั้งแต่หกเดือน ถึงสิบปี
อันตรายสาหัสนั้น คือ เสียอวัยวะสืบพันธุ์ หรือความสามารถสืบพันธุ์"
297(3),"ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส ต้องระวางโทษจำคุกตั้งแต่หกเดือน ถึงสิบปี
อันตรายสาหัสนั้น คือ เสียแขน ขา มือ เท้า นิ้วหรืออวัยวะอื่นใด"
297(4),"ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส ต้องระวางโทษจำคุกตั้งแต่หกเดือน ถึงสิบปี
อันตรายสาหัสนั้น คือ หน้าเสียโฉมอย่างติดตัว"
297(5),"ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส ต้องระวางโทษจำคุกตั้งแต่หกเดือน ถึงสิบปี
อันตรายสาหัสนั้น คือ แท้งลูก"
297(6),"ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส ต้องระวางโทษจำคุกตั้งแต่หกเดือน ถึงสิบปี
อันตรายสาหัสนั้น คือ จิตพิการอย่างติดตัว"
297(7),"ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส ต้องระวางโทษจำคุกตั้งแต่หกเดือน ถึงสิบปี
อันตรายสาหัสนั้น คือ ทุพพลภาพ หรือป่วยเจ็บเรื้อรังซึ่งอาจถึงตลอดชีวิต"
297(8),"ผู้ใดกระทำความผิดฐานทำร้ายร่างกาย จนเป็นเหตุให้ ผู้ถูกกระทำร้ายรับอันตรายสาหัส ต้องระวางโทษจำคุกตั้งแต่หกเดือน ถึงสิบปี
อันตรายสาหัสนั้น คือ ทุพพลภาพหรือป่วยเจ็บด้วยอาการทุกขเวทนาเกินกว่า ยี่สิบวัน หรือจนประกอบกรณียกิจตามปกติไม่ได้เกินกว่ายี่สิบวัน"
298,ผู้ใดกระทำความผิดตาม มาตรา 297 ถ้าความผิด นั้นมีลักษณะประการหนึ่งประการใดดังที่บัญญัติไว้ใน มาตรา 289 ต้องระวางโทษจำคุกตั้งแต่สองปีถึงสิบปี
299,"ผู้ใดเข้าร่วมในการชุลมุนต่อสู้ระหว่างบุคคลแต่สามคนขึ้นไป และบุคคลหนึ่งบุคคลใดไม่ว่าจะเป็นผู้ที่เข้าร่วมในการนั้นหรือไม่ รับ อันตรายสาหัส โดยการกระทำในการชุลมุนต่อสู้นั้น ต้องระวางโทษจำคุก ไม่เกินหนึ่งปี หรือปรับไม่เกินสองพันบาท หรือทั้งจำทั้งปรับ
ถ้าผู้ที่เข้าร่วมในการชุลมุนต่อสู้นั้นแสดงได้ว่า ได้กระทำไปเพื่อห้ามการ ชุลมุนต่อสู้นั้น หรือเพื่อป้องกันโดยชอบด้วยกฎหมาย ผู้นั้นไม่ต้องรับโทษ "
300,ผู้ใดกระทำโดยประมาท และการกระทำนั้นเป็นเหตุให้ ผู้อื่นรับอันตรายสาหัส ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกิน หกพันบาท หรือทั้งจำทั้งปรับ
301,หญิงใดทำให้ตนเองแท้งลูก หรือยอมให้ผู้อื่นทำให้ตนแท้งลูก ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกินหกพันบาท หรือทั้งจำ ทั้งปรับ
302,"ผู้ใดทำให้หญิงแท้งลูกโดยหญิงนั้นยินยอม ต้องระวางโทษจำคุกไม่เกินห้าปี หรือปรับไม่เกินหนึ่งหมื่นบาท หรือทั้งจำทั้งปรับ
ถ้าการกระทำนั้นเป็นเหตุให้หญิงรับอันตรายสาหัสอย่างอื่นด้วย ผู้กระทำต้องระวางโทษจำคุกไม่เกินเจ็ดปี หรือปรับไม่เกินหนึ่งหมื่นสี่พันบาท หรือทั้ง จำทั้งปรับ
ถ้าการกระทำนั้นเป็นเหตุให้หญิงถึงแก่ความตาย ผู้กระทำต้องระวาง โทษจำคุกไม่เกินสิบปี และปรับไม่เกินสองหมื่นบาท"
303,"ผู้ใดทำให้หญิงแท้งลูกโดยหญิงนั้นไม่ยินยอม ต้อง ระวางโทษจำคุกไม่เกินเจ็ดปี หรือปรับไม่เกินหนึ่งหมื่นสี่พันบาท หรือทั้งจำทั้งปรับ
ถ้าการกระทำนั้นเป็นเหตุให้หญิงรับอันตรายสาหัสอย่างอื่นด้วย ผู้กระทำต้องระวางโทษจำคุกตั้งแต่หนึ่งปีถึงสิบปี และปรับตั้งแต่ สองพันบาทถึงสองหมื่นบาท
ถ้าการกระทำนั้นเป็นเหตุให้หญิงถึงแก่ความตาย ผู้กระทำต้อง ระวางโทษจำคุกตั้งแต่ห้าปีถึงยี่สิบปี และปรับตั้งแต่หนึ่งหมื่นบาท ถึงสี่หมื่นบาท "
306,ผู้ใดทอดทิ้งเด็กอายุยังไม่เกินเก้าปีไว้ ณ ที่ใดเพื่อให้เด็ก นั้นพ้นไปเสียจากตน โดยประการที่ทำให้เด็กนั้นปราศจากผู้ดูแล ต้องระวาง โทษจำคุกไม่เกินสามปี หรือปรับไม่เกินหกพันบาท หรือทั้งจำทั้งปรับ
307,ผู้ใดมีหน้าที่ตามกฎหมายหรือตามสัญญาต้องดูแลผู้ซึ่ง พึ่งตนตนเองมิได้ เพราะอายุ ความป่วยเจ็บ กายพิการ หรือจิตพิการ ทอดทิ้งผู้ซึ่งพึ่งตนเองมิได้นั้นเสียโดยประการที่น่าจะเป็นเหตุให้เกิด อันตรายแก่ชีวิต ต้องระวางโทษจำคุกไม่เกินสามปี หรือปรับไม่เกิน หกพันบาท หรือทั้งจำทั้งปรับ
308,ถ้าการกระทำความผิดตาม มาตรา 306 หรือ มาตรา 307 เป็นเหตุให้ผู้ถูกทอดทิ้งถึงแก่ความตาย หรือรับอันตรายสาหัส ผู้กระทำต้อง ระวางโทษดังที่บัญญัติไว้ใน มาตรา 290 มาตรา 297 หรือ มาตรา 298 นั้น
